epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2765.21,1.04088,4.84756,1.38185,0.26553,0.05507,0.03131,0.02397,1.07794,4.7443,1.36018,3.53067e-05,3.53067e-05,3.53067e-05
2,5574.23,1.07538,4.17559,1.38769,0.28537,0.17131,0.10342,0.07574,1.13165,4.01938,1.39704,6.71434e-05,6.71434e-05,6.71434e-05
3,9928.4,1.08177,3.65428,1.3828,0.31246,0.23901,0.16909,0.12376,1.11995,3.6069,1.38047,9.5482e-05,9.5482e-05,9.5482e-05
4,14084.8,1.07026,3.35436,1.36998,0.37222,0.28473,0.21734,0.16032,1.10812,3.2984,1.38276,9.0259e-05,9.0259e-05,9.0259e-05
5,16853.2,1.05015,3.13696,1.35746,0.34554,0.31823,0.25683,0.19173,1.09588,3.05921,1.36156,8.5012e-05,8.5012e-05,8.5012e-05
6,19641.1,1.04063,2.9832,1.34971,0.38659,0.31426,0.27781,0.20731,1.08434,2.92067,1.3438,7.9765e-05,7.9765e-05,7.9765e-05
7,22410.5,1.02845,2.85547,1.33903,0.36925,0.3472,0.30313,0.2287,1.07827,2.78556,1.34812,7.4518e-05,7.4518e-05,7.4518e-05
8,25215.6,1.02147,2.75492,1.33206,0.41142,0.34668,0.31214,0.23406,1.07189,2.71938,1.3323,6.9271e-05,6.9271e-05,6.9271e-05
9,27986.5,1.01633,2.67674,1.32741,0.43102,0.35844,0.33116,0.25059,1.05845,2.66186,1.32055,6.4024e-05,6.4024e-05,6.4024e-05
10,30771.3,1.00846,2.60491,1.32113,0.39227,0.37791,0.33441,0.25346,1.0534,2.58275,1.318,5.8777e-05,5.8777e-05,5.8777e-05
11,33496.9,0.99446,2.60417,1.33839,0.4035,0.39654,0.35198,0.26535,1.04102,2.55393,1.29528,5.353e-05,5.353e-05,5.353e-05
12,36281.5,0.98397,2.48666,1.33372,0.41696,0.39507,0.35949,0.27152,1.03871,2.49977,1.29511,4.8283e-05,4.8283e-05,4.8283e-05
13,38992.5,0.96569,2.40238,1.31502,0.43048,0.40988,0.36725,0.27855,1.03807,2.44585,1.2959,4.3036e-05,4.3036e-05,4.3036e-05
14,41736.5,0.96405,2.33856,1.31141,0.43799,0.41065,0.37191,0.28461,1.03162,2.45265,1.28868,3.7789e-05,3.7789e-05,3.7789e-05
15,44443,0.95748,2.28333,1.30611,0.42226,0.42612,0.37956,0.28986,1.03454,2.38047,1.28869,3.2542e-05,3.2542e-05,3.2542e-05
16,47166.5,0.95321,2.23183,1.29875,0.4487,0.4187,0.38522,0.29456,1.0243,2.36609,1.28201,2.7295e-05,2.7295e-05,2.7295e-05
17,49909.5,0.94496,2.19207,1.29304,0.45259,0.42417,0.3889,0.29849,1.0255,2.36039,1.28224,2.2048e-05,2.2048e-05,2.2048e-05
18,52631,0.93587,2.15013,1.28693,0.42913,0.43913,0.38938,0.29761,1.02105,2.35073,1.28234,1.6801e-05,1.6801e-05,1.6801e-05
19,55340.9,0.93005,2.11994,1.28082,0.45257,0.42323,0.3912,0.3006,1.02167,2.34703,1.27884,1.1554e-05,1.1554e-05,1.1554e-05
20,58065.3,0.9305,2.09554,1.27998,0.43813,0.43072,0.39336,0.30114,1.02256,2.33381,1.27939,6.307e-06,6.307e-06,6.307e-06
