frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
83,-1,-1.0 -1.0 -1.0 -1.0,1119.328703227796 2077.310238486842 1370.0313784950658 2160.0,0,0,0
84,-1,-1.0 -1.0 -1.0 -1.0,1141.4696052952818 2077.4693924753287 1391.613217002467 2160.0,0,0,0
85,-1,-1.0 -1.0 -1.0 -1.0,1163.6105073627673 2077.628546463816 1413.1950555098683 2160.0,0,0,0
86,-1,-1.0 -1.0 -1.0 -1.0,1185.7514094302528 2077.7877004523025 1434.7768940172698 2160.0,0,0,0
87,-1,-1.0 -1.0 -1.0 -1.0,1207.8923114977385 2077.9468544407896 1456.358732524671 2160.0,0,0,0
88,-1,-1.0 -1.0 -1.0 -1.0,1230.033213565224 2078.1060084292762 1477.9405710320723 2160.0,0,0,0
89,-1,-1.0 -1.0 -1.0 -1.0,1252.1741156327098 2078.2651624177633 1499.5224095394738 2160.0,0,0,0
90,-1,-1.0 -1.0 -1.0 -1.0,1274.3150177001953 2078.42431640625 1521.104248046875 2160.0,0,0,0
91,-1,-1.0 -1.0 -1.0 -1.0,1296.4559197676808 2078.5834703947367 1542.6860865542762 2160.0,0,0,0
92,-1,-1.0 -1.0 -1.0 -1.0,1318.5968218351666 2078.7426243832238 1564.2679250616775 2160.0,0,0,0
93,-1,-1.0 -1.0 -1.0 -1.0,1340.737723902652 2078.9017783717104 1585.849763569079 2160.0,0,0,0
94,-1,-1.0 -1.0 -1.0 -1.0,1362.8786259701378 2079.0609323601975 1607.4316020764802 2160.0,0,0,0
95,-1,-1.0 -1.0 -1.0 -1.0,1385.0195280376233 2079.220086348684 1629.0134405838817 2160.0,0,0,0
96,-1,-1.0 -1.0 -1.0 -1.0,1407.1604301051088 2079.3792403371713 1650.595279091283 2160.0,0,0,0
97,-1,-1.0 -1.0 -1.0 -1.0,1429.3013321725946 2079.538394325658 1672.1771175986842 2160.0,0,0,0
98,-1,-1.0 -1.0 -1.0 -1.0,1451.4422342400803 2079.6975483141446 1693.7589561060854 2160.0,0,0,0
99,-1,-1.0 -1.0 -1.0 -1.0,1473.5831363075658 2079.8567023026317 1715.3407946134869 2160.0,0,0,0
100,-1,-1.0 -1.0 -1.0 -1.0,1495.7240383750514 2080.0158562911183 1736.9226331208881 2160.0,0,0,0
101,-1,-1.0 -1.0 -1.0 -1.0,1517.8649404425369 2080.1750102796054 1758.5044716282896 2160.0,0,0,0
102,-1,-1.0 -1.0 -1.0 -1.0,1540.0058425100226 2080.334164268092 1780.0863101356908 2160.0,0,0,0
103,-1,-1.0 -1.0 -1.0 -1.0,1562.1467445775083 2080.4933182565787 1801.668148643092 2160.0,0,0,0
104,-1,-1.0 -1.0 -1.0 -1.0,1584.2876466449939 2080.652472245066 1823.2499871504933 2160.0,0,0,0
105,-1,-1.0 -1.0 -1.0 -1.0,1606.4285487124794 2080.8116262335525 1844.8318256578946 2160.0,0,0,0
106,-1,-1.0 -1.0 -1.0 -1.0,1628.569450779965 2080.9707802220396 1866.413664165296 2160.0,0,0,0
107,-1,-1.0 -1.0 -1.0 -1.0,1650.7103528474506 2081.1299342105262 1887.9955026726973 2160.0,0,0,0
108,-1,-1.0 -1.0 -1.0 -1.0,1672.8512549149364 2081.2890881990133 1909.5773411800988 2160.0,0,0,0
109,-1,-1.0 -1.0 -1.0 -1.0,1694.9921569824219 2081.4482421875 1931.1591796875 2160.0,0,0,0
110,-1,-1.0 -1.0 -1.0 -1.0,1717.1330590499074 2081.6073961759867 1952.7410181949012 2160.0,0,0,0
111,-1,-1.0 -1.0 -1.0 -1.0,1739.2739611173931 2081.7665501644738 1974.3228567023025 2160.0,0,0,0
112,-1,-1.0 -1.0 -1.0 -1.0,1761.4148631848789 2081.9257041529604 1995.904695209704 2160.0,0,0,0
113,-1,-1.0 -1.0 -1.0 -1.0,1783.5557652523644 2082.0848581414475 2017.4865337171052 2160.0,0,0,0
114,-1,-1.0 -1.0 -1.0 -1.0,1805.69666731985 2082.244012129934 2039.0683722245067 2160.0,0,0,0
115,-1,-1.0 -1.0 -1.0 -1.0,1827.8375693873354 2082.4031661184213 2060.650210731908 2160.0,0,0,0
116,-1,-1.0 -1.0 -1.0 -1.0,1849.9784714548211 2082.562320106908 2082.232049239309 2160.0,0,0,0
117,-1,-1.0 -1.0 -1.0 -1.0,1872.119373522307 2082.7214740953946 2103.8138877467104 2160.0,0,0,0
118,-1,-1.0 -1.0 -1.0 -1.0,1894.2602755897924 2082.8806280838817 2125.3957262541117 2160.0,0,0,0
119,-1,-1.0 -1.0 -1.0 -1.0,1916.401177657278 2083.0397820723683 2146.9775647615133 2160.0,0,0,0
120,-1,-1.0 -1.0 -1.0 -1.0,1938.5420797247637 2083.1989360608554 2168.559403268914 2160.0,0,0,0
121,-1,-1.0 -1.0 -1.0 -1.0,1960.6829817922492 2083.358090049342 2190.141241776316 2160.0,0,0,0
122,-1,-1.0 -1.0 -1.0 -1.0,1982.823883859735 2083.5172440378287 2211.723080283717 2160.0,0,0,0
123,-1,-1.0 -1.0 -1.0 -1.0,2004.9647859272204 2083.676398026316 2233.3049187911183 2160.0,0,0,0
124,-1,-1.0 -1.0 -1.0 -1.0,2027.105687994706 2083.8355520148025 2254.88675729852 2160.0,0,0,0
125,-1,-1.0 -1.0 -1.0 -1.0,2049.246590062192 2083.9947060032896 2276.468595805921 2160.0,0,0,0
126,-1,-1.0 -1.0 -1.0 -1.0,2071.3874921296774 2084.1538599917762 2298.0504343133225 2160.0,0,0,0
127,-1,-1.0 -1.0 -1.0 -1.0,2093.528394197163 2084.3130139802633 2319.6322728207238 2160.0,0,0,0
128,-1,-1.0 -1.0 -1.0 -1.0,2115.6692962646484 2084.47216796875 2341.214111328125 2160.0,0,0,0
129,-1,-1.0 -1.0 -1.0 -1.0,2137.810198332134 2084.6313219572367 2362.7959498355262 2160.0,0,0,0
130,-1,-1.0 -1.0 -1.0 -1.0,2159.9511003996195 2084.7904759457238 2384.3777883429275 2160.0,0,0,0
131,-1,-1.0 -1.0 -1.0 -1.0,2182.092002467105 2084.9496299342104 2405.959626850329 2160.0,0,0,0
132,-1,-1.0 -1.0 -1.0 -1.0,2204.232904534591 2085.1087839226975 2427.54146535773 2160.0,0,0,0
133,-1,-1.0 -1.0 -1.0 -1.0,2226.3738066020765 2085.267937911184 2449.1233038651317 2160.0,0,0,0
134,-1,-1.0 -1.0 -1.0 -1.0,2248.5147086695624 2085.4270918996713 2470.705142372533 2160.0,0,0,0
135,-1,-1.0 -1.0 -1.0 -1.0,2270.655610737048 2085.586245888158 2492.286980879934 2160.0,0,0,0
136,-1,-1.0 -1.0 -1.0 -1.0,2292.7965128045334 2085.7453998766446 2513.8688193873354 2160.0,0,0,0
137,-1,-1.0 -1.0 -1.0 -1.0,2314.937414872019 2085.9045538651317 2535.4506578947367 2160.0,0,0,0
