frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
24,5.0,[2194.225719133597 1198.0231756986905 2813.6726871715177 1810.2383411625792],[2424.054443359375 1617.2718505859375 2604.325439453125 1708.266845703125],0.6209873557090759,NI51VSU,0.15528850894941656
25,5.0,[2194.8735905897483 1200.5306338650996 2813.5874091149435 1811.636228005719],[2424.5771484375 1617.462890625 2604.0419921875 1708.2685546875],0.6211540102958679,NI51VSU,0.16793786004033956
27,5.0,[2196.8174103402466 1208.2148039402296 2813.733773077967 1816.5295311295831],[2430.796142578125 1629.8587646484375 2606.859375 1709.8154296875],0.589702844619751,MI51VSU,0.04003301492630295
32,5.0,[2201.3142448382755 1223.4851483081266 2822.2377649889654 1834.1326738772818],[2427.55615234375 1642.7952880859375 2603.24072265625 1728.513916015625],0.5974929928779602,MT51NSV,0.0872000876159923
33,5.0,[2200.301519450693 1225.68373691344 2822.215225954437 1839.488102328026],[2428.04345703125 1649.0072021484375 2600.571533203125 1730.1221923828125],0.5996354222297668,CO51GSV,0.06512376624636931
36,5.0,[2201.132826841653 1244.1468697315304 2827.3099891174697 1858.414770325307],[2428.966552734375 1659.2373046875 2608.900634765625 1746.7525634765625],0.6147505640983582,MI51VSV,0.057801575704964366
37,5.0,[2199.6511482987166 1248.4994944687362 2828.762790176604 1860.6801902677432],[2429.149658203125 1659.132568359375 2608.776123046875 1746.99462890625],0.613287091255188,CI51VSV,0.027708588727050534
41,3.0,[665.4496242969685 1502.0649170697354 1391.4488558728553 2148.950620906069],[900.4451904296875 1927.6484375 1140.3746337890625 2022.82373046875],0.5973508954048157,NA13NRU,0.16300421430517703
41,5.0,[2206.720750981657 1251.0943664607441 2846.0225466574184 1868.9942406330313],[2433.391845703125 1679.1177978515625 2616.7265625 1754.68505859375],0.5720441341400146,LD51VSU,0.17515820619762532
44,3.0,[656.5110103131211 1511.9777433441052 1384.8637701095508 2151.181211427702],[900.42041015625 1946.1038818359375 1134.1337890625 2031.4346923828125],0.3503735363483429,NA13MRU,0.3678355166338295
45,3.0,[654.8167451323854 1515.5608629347116 1384.7247734442908 2153.0972274938367],[930.6964111328125 1954.3070068359375 1150.16748046875 2038.3619384765625],0.3730509877204895,NA13NRU,0.4525877824165332
46,5.0,[2209.2161594429517 1259.7930301694412 2855.1326346100013 1884.2899107252526],[2439.864501953125 1694.1844482421875 2620.828125 1774.4608154296875],0.6568002104759216,IJ51VSV,0.07126129274942124
46,3.0,[652.6581461011606 1517.9004510897628 1382.9836691894996 2152.6061998300283],[919.2496948242188 1957.248779296875 1147.59423828125 2050.030517578125],0.5106905698776245,NA13MRU,0.28799352259203204
47,3.0,[650.7496752035049 1518.8215451742753 1382.4609986957864 2151.172045217468],[888.2550659179688 1959.5050048828125 1144.197998046875 2056.090576171875],0.5112296342849731,NA13MRU,0.18673549273142911
49,5.0,[2207.522592212557 1267.809445230906 2855.0309300296435 1897.4415965459634],[2438.336669921875 1701.9334716796875 2620.488525390625 1784.7161865234375],0.5934888124465942,MZ51VSW,0.018098077368049727
51,5.0,[2205.795464068615 1267.4511277804495 2854.000988348158 1903.195328123919],[2439.96826171875 1707.6610107421875 2624.33203125 1792.6182861328125],0.6248037815093994,CJ51TSU,0.030532444366300964
